FOOD NAMES,Group,PLACEHOLDER
Apples,fruit,Good
Celery,vegetables,Good
Berries,fruit,Good
green banana,probiotics,Good
Olive oil,low fat,Good
Honey,added sugar,Good
Herbal teas,vegetables,Good
Alcohol,alcohol,Bad
Smoking,smoke,Bad
Green leafy Vegetables,vegetables,Good
Unripe Plantain,fruit,Good
Bioled Fishes,white meat,Good
Bioled Eggs,low fat,Good
Green Pepper,antioxidant,Good
Okra,vegetables,Good
Garden Egg,vegetables,Good
Cucumber,fruit,Good
Wheat,fibre,Good
Less spiced Moi Moi,fibre,Good
Millet and Corn Pudding (Pap),fibre,Good
Peach,fruit,Good
Pear,fruit,Good
Tortillas,fibre,Good
WaterMelon,fruit,Good
Barley,fibre,Good
Brown Rice,fibre,Good
Garri,acidic carbonhydrate,Bad
Corn,acidic carbonhydrate,Bad
Coffe,caffeine,Bad
Brussel Sprouts,vegetables,Good
Sugar,acidic carbonhydrate,Bad
Onions,acidic fruit,Bad
Milk,acidic protein,Bad
Lemons,acidic fruit,Bad
Water,water,Good
Low-fat Crackers,low fat,Good
Tofu,alkaline protein,Good
Kiwi,fibre,Good
Broccoli,vegetables,Good
Beans,acidic protein,Bad
Grapes,acidic fruit,Bad
Fried chicken,fried,Bad
Plantain chips,fried,Bad
Fried Fish,fried,Bad
Pineapples,acidic fruit,Bad
Limes,acidic fruit,Bad
Tangerines,acidic fruit,Bad
Carbonated Drinks,high sugar,Bad
Oranges,acidic fruit,Bad
Fish,white meat,Good
Chicken,white meat,Good
Turkey,white meat,Good
Ewedu,vegetables,Good
Coconut Milk,diary,Good
Pawpaw,fruit,Good
Avocado,fruit,Good
Ogbono soup,vegetables,Good
Cabbage,vegetables,Good
Mangoes,fruit,Good
Spinach,vegetables,Good
Yogurt,probiotics,Good
Creamy Candies,high fat,Bad
Carrot,fibre,Good
Fried Rice,fried,Bad
Miso,probiotics,Good
Sauerkraut,probiotics,Good
Kimchi,probiotics,Good
Oatmeal,fibre,Good
kombucha,probiotics,Good
tempeh,probiotics,Good
